,scanorama_full
NMI_cluster/label,0.5100611907811752
ARI_cluster/label,0.15133964983242337
ASW_label,0.6281241625547409
ASW_label/batch,0.826088170722719
PCR_batch,0.7867211290735486
cell_cycle_conservation,0.7837167484673627
isolated_label_F1,0.0
isolated_label_silhouette,0.583728089928627
graph_conn,0.8326719441813908
kBET,0.6830768676963535
iLISI,0.30851238432710204
cLISI,0.9999999999999968
hvg_overlap,0.26118904475617905
trajectory,
