,scanorama_embed
NMI_cluster/label,0.589766895823469
ARI_cluster/label,0.3089436528745823
ASW_label,0.5962648725438139
ASW_label/batch,0.8577641303426027
PCR_batch,0.8327101819068751
cell_cycle_conservation,0.8432210245586145
isolated_label_F1,0.0
isolated_label_silhouette,0.583728089928627
graph_conn,0.8412175005129923
kBET,0.6668551073500082
iLISI,0.26282798462996715
cLISI,0.989050841662988
hvg_overlap,
trajectory,
