,NMI_cluster/label,ARI_cluster/label,ASW_label,ASW_label/batch,PCR_batch,cell_cycle_conservation,isolated_label_F1,isolated_label_silhouette,graph_conn,kBET,iLISI,cLISI,hvg_overlap,trajectory,NMI_cluster.label,ARI_cluster.label,ASW_label.batch
/retinal_1000_dataset_cell.type/metrics/unscaled/hvg/scanorama_embed,0.6732576067532916,2.6086555345862963,0.5460715794860137,0.8853084586571129,0.2048470185221295,0.8112944368870729,0.6395786305492851,0.5366016329960034,0.8218166623906386,0.03944425406283,0.08567769737659,1.0,,,,,
/retinal_1000_dataset_cell.type/metrics/scaled/hvg/scanorama_embed,0.7950963457680239,-9.638403566830837,0.5852341660385146,0.9107612063480536,0.9423650433032466,0.9002620174251474,0.7208480565371024,0.5511308933325112,0.8358120763847466,0.0292041565279107,0.1428232208805619,1.0,,,,,
/retinal_1000_dataset_cell.type/metrics/unscaled/hvg/scanorama_full,0.6434789093183574,2.669295586204098,0.5597349256277084,0.8559084792142229,0.1880460010347539,0.9001671329479122,0.6395786305492851,0.5506668724119663,0.842120511354585,0.4288045666973971,0.099881248223302,1.0,0.4197232948717604,,,,
/retinal_1000_dataset_cell.type/metrics/scaled/hvg/scanorama_full,0.6972574173643794,1.4191028465706612,0.6108195930719376,0.8640922239806611,0.8916701435804091,0.8200245179034125,0.6245239908606245,0.5827042385935783,0.794475118306887,0.5259757451704606,0.1741970991970993,0.9999999999999996,0.3154272793690907,,,,
/retinal_1000_dataset_cell.type/metrics/unscaled/hvg/seurat_full,0.7716257560910236,5.833308540392068,0.6099357828497887,0.8605198434714844,0.8391360368811238,0.8442577340678183,0.8740298507462686,0.4910133704543113,0.80990773512728,0.6868785838706206,0.2524640043065753,1.0,0.4638425498922879,,,,
/retinal_1000_dataset_cell.type/metrics/scaled/hvg/seurat_full,0.7453460977906179,5.020758723161586,0.6180072203278542,0.8601378661225962,0.9097199720763032,0.8214941168987406,0.6786484543493889,0.4929153504781425,0.7109804760409205,0.6268331681213164,0.24654339725644,0.9995471710706691,0.3021794181848749,,,,
/retinal_1000_dataset_cell.type/metrics/unscaled/hvg/combat_full,0.6526202308907912,5.280893983643482,0.5786835998296738,0.8912866865119259,0.9999995123829916,0.8963465686761644,0.8886183810103468,0.6004042774438858,0.8046662102833959,0.0521827436341078,0.0342444047718141,1.0,0.5568190052572793,,,,
/retinal_1000_dataset_cell.type/metrics/scaled/hvg/combat_full,0.6420696620886478,2.27715075646247,0.5855419486761093,0.8832304339501973,1.0,0.8516263052949531,0.8601880877742946,0.6276281923055649,0.801968388557506,0.0319534530619537,0.0326811792546964,1.0,0.2541763491284219,,,,
/retinal_1000_dataset_cell.type/metrics/unscaled/hvg/bbknn_knn,0.691205165315792,1.43716699596443,,,,,0.0909529553679131,,0.995704422507039,0.0006434096435922,0.2751976284584981,0.9638252148997134,,,,,
/retinal_1000_dataset_cell.type/metrics/scaled/hvg/bbknn_knn,0.6408129091844209,-0.447684755397205,,,,,0.0705439724094685,,0.9949884633793707,0.0198007102928626,0.3051189464740867,0.8644493051981472,,,,,
/retinal_1000_dataset_cell.type/metrics/unscaled/hvg/scgen_full,0.8606211156015163,-19.516268862835663,0.6406087875366211,0.8113516416605656,0.7664043013326141,0.6568930656616524,0.9944071588366892,0.5644669309258461,0.9891296873680052,0.0141939741373104,0.1845859387528542,1.0,0.4969352663381202,,,,
/retinal_1000_dataset_cell.type/metrics/scaled/hvg/scgen_full,0.7183450084231735,-3.3158573801208133,0.5339366011321545,0.8692433797444646,0.9215886595078624,0.6118442398610624,0.9398538504777966,0.7138093709945679,0.8614438395695516,0.0170954634915869,0.2473816203946975,0.9996644645210838,0.3867453282289702,,,,
/retinal_1000_dataset_cell.type/metrics/unscaled/hvg/harmony_embed,0.708388123686083,-1.489495854402813,0.5872152951548678,0.864197213890569,0.8495074236335215,0.8560846142323464,0.6244897959183673,0.597533597438114,0.8066529865016434,0.1583373598142522,0.1410171842053238,1.0,,,,,
/retinal_1000_dataset_cell.type/metrics/scaled/hvg/harmony_embed,0.6659013675313754,0.7225057026734487,0.5799959727621307,0.9034988523991374,0.9494210160410612,0.8013287606339171,0.8613317043372022,0.619691751676515,0.7152317923965191,0.2297038500041903,0.2205637716875284,0.9980409655304848,,,,,
/retinal_1000_dataset_cell.type/metrics/unscaled/hvg/saucie_full,0.5156431871986529,3.7700385085490575,0.5063415975309908,0.7568417800686728,0.258812765071319,0.4942937271154753,0.305057745917961,0.4857054678723216,0.2062307406298256,0.1881585230619691,0.1351644796738817,0.9969072451091676,0.5161500600487007,,,,
/retinal_1000_dataset_cell.type/metrics/scaled/hvg/saucie_full,0.525475726344189,3.108552336082351,0.5676375105977058,0.7994144914632848,0.893891063370182,0.7394213559334225,0.1343012704174228,0.4733634777367115,0.5119477152999495,0.1763776313825693,0.2825851883399359,0.9952197257793536,0.2315127264792861,,,,
/retinal_1000_dataset_cell.type/metrics/unscaled/hvg/saucie_embed,0.5201026423184154,3.460867978235161,0.5063258982263505,0.757023225514237,0.2588132697164693,0.4942933468355383,0.3436645396536007,0.4857337009161711,0.2062307406298256,0.1881824075919311,0.1354880886824467,0.9968564967897942,,,,,
/retinal_1000_dataset_cell.type/metrics/scaled/hvg/saucie_embed,0.5149004879625897,3.584976422648059,0.5676222667098045,0.7995296980164358,0.8938911175644997,0.7394212353985677,0.1525103812759531,0.4733862467110157,0.5120466514258594,0.1763927246854693,0.283116261596581,0.9952957086276712,,,,,
